log,summary
ERROR service=notify-hub role=readonly table=invoices code=1044 msg=permission denied,Error 1044 in resolveHost: the readonly role used by notify-hub has no access to invoices.
[ALERT] certificate for report-builder is no longer valid (expired 86d); handshake rejected in resolveHost,Connections to report-builder are failing because its TLS certificate expired 86 days ago; resolveHost rejects the handshake.
[ERROR] thumbnail-worker: 403 on /api/v1/checkout — expired credentials (469m past validity),The /api/v1/checkout call failed with 403: thumbnail-worker saw credentials that lapsed 469 minutes ago.
ERROR service=search-indexer host=node-07 oom_killed=true limit=2048Mi function=runMigration exit=137,An out-of-memory kill terminated search-indexer on node-07 (exit 137); the runMigration process breached the 2048Mi cap.
Client exceeded 60 requests per minute on /api/v1/sessions; webhook-relay is responding 429 with retry-after 15s.,Rate limiting kicked in on /api/v1/sessions — over 60/min — and webhook-relay now answers 429 with retry-after 15s.
"[ERROR] container runtime killed session-store on node-07: memory limit 2048Mi reached inside runMigration, exit code 137",An out-of-memory kill terminated session-store on node-07 (exit 137); the runMigration process breached the 2048Mi cap.
[CRIT] cart-service: permission denied for batch_runner on customers during handleRequest (error 1045),"cart-service was denied access to table customers: role batch_runner lacks the required grant, producing error 1045 in handleRequest."
"[CRIT] payment-worker deployment stalled: image tag v7.0.0 could not be pulled, registry answered 503",Deploying payment-worker failed because image tag v7.0.0 could not be pulled; the registry responded with 503 and the pull is backing off.
Container thumbnail-worker on worker-f terminated unexpectedly. Exit code 137. Process syncReplica exceeded the memory limit of 1024Mi.,An out-of-memory kill terminated thumbnail-worker on worker-f (exit 137); the syncReplica process breached the 1024Mi cap.
Container ledger-service on node-10 terminated unexpectedly. Exit code 137. Process fetchUpstream exceeded the memory limit of 256Mi.,The ledger-service container on node-10 was killed with exit code 137 after fetchUpstream exceeded its 256Mi memory limit.
Scheduled job invoice-rollup failed after 2768s with exit status 1. Last step was writeSnapshot on worker-b.,The invoice-rollup scheduled job failed on worker-b: it exited 1 after 2768s while running writeSnapshot.
Failed to pull image for ledger-service: registry returned 403 while fetching tag v2.7.8. Retrying with backoff.,"The ledger-service image pull for tag v2.7.8 failed with registry error 403, leaving the deployment in backoff."
"[CRIT] container runtime killed ledger-service on worker-e: memory limit 256Mi reached inside decodePayload, exit code 137",ledger-service on worker-e ran out of memory: decodePayload crossed the 256Mi limit and the container exited with code 137.
TLS handshake with feed-aggregator failed: certificate expired 28 days ago. acquireLock aborted the connection.,"feed-aggregator has an expired TLS certificate (28 days past validity), causing handshake failures in acquireLock."
"[ERROR] container runtime killed cart-service on worker-a: memory limit 256Mi reached inside openChannel, exit code 137",An out-of-memory kill terminated cart-service on worker-a (exit 137); the openChannel process breached the 256Mi cap.
Name resolution failed for upstream backup-agent: NXDOMAIN. notify-hub cannot reach it from node-03.,"DNS resolution of backup-agent failed with NXDOMAIN, leaving notify-hub on node-03 unable to connect."
No space left on device: geo-resolver on node-12 failed to write during startContainer. Volume /srv/uploads is at 96% capacity.,Writes from geo-resolver on node-12 are failing because volume /srv/uploads is 96% full — startContainer hit 'no space left on device'.
WARN service=report-builder endpoint=/api/v1/search code=401 reason=token_expired expired_min=615,An expired token (615 minutes past validity) caused report-builder to reject /api/v1/search with 401.
Client exceeded 60 requests per minute on /api/v1/search; thumbnail-worker is responding 429 with retry-after 15s.,Rate limiting kicked in on /api/v1/search — over 60/min — and thumbnail-worker now answers 429 with retry-after 15s.
FATAL service=search-indexer fn=startContainer missing_env=DATABASE_URL exit=1,search-indexer failed to start because the DATABASE_URL environment variable is missing; startContainer exited with status 1.
Request to /api/v1/uploads rejected with 403: the session token presented to payment-worker expired 93 minutes ago.,payment-worker returned 403 for /api/v1/uploads because the caller's token expired 93 minutes earlier.
"[ERROR] startup failure in geo-resolver: CACHE_HOST unset, openChannel cannot continue",Startup of geo-resolver aborted in openChannel — the required CACHE_HOST setting was never provided.
[CRIT] lock wait on orders: feed-aggregator transaction in syncReplica aborted after 1000ms,The orders query issued by feed-aggregator timed out at 1000ms inside syncReplica.
"[CRIT] throttling active on /api/v1/orders: report-builder rejecting excess traffic with 429 (limit 600/min, retry after 60s)",Rate limiting kicked in on /api/v1/orders — over 600/min — and report-builder now answers 429 with retry-after 60s.
[ALERT] certificate for search-indexer is no longer valid (expired 25d); handshake rejected in decodePayload,"search-indexer has an expired TLS certificate (25 days past validity), causing handshake failures in decodePayload."
ERROR service=session-store host=node-07 upstream=ledger-service dns=timeout,"The ledger-service hostname would not resolve (timeout), blocking session-store on node-07."
ERROR service=auth-gateway host=worker-a mount=/tmp used_pct=96 fn=renewLease msg=no space left on device,"worker-a ran out of disk on /tmp (96% used), breaking auth-gateway's renewLease."
ERROR service=report-builder host=worker-e mount=/tmp used_pct=100 fn=processBatch msg=no space left on device,Writes from report-builder on worker-e are failing because volume /tmp is 100% full — processBatch hit 'no space left on device'.
Message on payments.retry was redelivered 3 times and moved to the dead-letter queue. Consumer inventory-sync raised JSONDecodeError in decodePayload.,inventory-sync could not process a payments.retry message — JSONDecodeError in decodePayload across 3 attempts sent it to the dead-letter queue.
webhook-relay exited during startup: required environment variable QUEUE_URL is not set. fetchUpstream aborted with status 1.,webhook-relay failed to start because the QUEUE_URL environment variable is missing; fetchUpstream exited with status 1.
payment-worker exited during startup: required environment variable MAX_WORKERS is not set. openChannel aborted with status 1.,A missing MAX_WORKERS value stopped payment-worker from booting (openChannel exited 1).
FATAL service=feed-aggregator fn=writeSnapshot missing_env=TLS_CERT_PATH exit=1,Startup of feed-aggregator aborted in writeSnapshot — the required TLS_CERT_PATH setting was never provided.
WARN service=webhook-relay table=invoices elapsed_ms=1000 fn=openChannel msg=statement timeout,webhook-relay's query on invoices was aborted after 1000ms — the statement timeout fired during openChannel.
ERROR service=email-dispatcher host=worker-c upstream=backup-agent dns=NXDOMAIN,"DNS resolution of backup-agent failed with NXDOMAIN, leaving email-dispatcher on worker-c unable to connect."
WARN service=feed-aggregator endpoint=/api/v1/orders limit_per_min=300 code=429 retry_after_s=30,"feed-aggregator is throttling /api/v1/orders: the 300-per-minute limit was exceeded, so callers get 429 with a 30s retry-after."
[ERROR] session-store: 401 on /api/v1/orders — expired credentials (238m past validity),The /api/v1/orders call failed with 401: session-store saw credentials that lapsed 238 minutes ago.
[ALERT] lock wait on products: notify-hub transaction in buildIndex aborted after 5000ms,notify-hub's query on products was aborted after 5000ms — the statement timeout fired during buildIndex.
ERROR service=thumbnail-worker host=node-02 upstream=catalog-api dns=timeout,"DNS resolution of catalog-api failed with timeout, leaving thumbnail-worker on node-02 unable to connect."
No space left on device: search-indexer on worker-d failed to write during decodePayload. Volume /srv/uploads is at 98% capacity.,Writes from search-indexer on worker-d are failing because volume /srv/uploads is 98% full — decodePayload hit 'no space left on device'.
TLS handshake with inventory-sync failed: certificate expired 34 days ago. flushBuffer aborted the connection.,"inventory-sync has an expired TLS certificate (34 days past validity), causing handshake failures in flushBuffer."
Upstream inventory-sync returned 502 for /api/v1/orders after 22723ms. Circuit breaker in email-dispatcher is now open.,email-dispatcher opened its circuit breaker after inventory-sync answered /api/v1/orders with 502 (latest attempt took 22723ms).
[ERROR] consumer lag on orders.created: ledger-service is 24 messages behind; oldest message failed with TimeoutError,"After 24 failed deliveries to ledger-service (TimeoutError), the orders.created message landed in the dead-letter queue."
Container geo-resolver on worker-f terminated unexpectedly. Exit code 137. Process syncReplica exceeded the memory limit of 512Mi.,An out-of-memory kill terminated geo-resolver on worker-f (exit 137); the syncReplica process breached the 512Mi cap.
ERROR service=backup-agent fn=flushBuffer tls=handshake_failed reason=certificate_expired expired_days=59,Connections to backup-agent are failing because its TLS certificate expired 59 days ago; flushBuffer rejects the handshake.
Upstream report-builder returned 500 for /api/v1/sessions after 28889ms. Circuit breaker in session-store is now open.,session-store opened its circuit breaker after report-builder answered /api/v1/sessions with 500 (latest attempt took 28889ms).
ERROR service=search-indexer fn=decodePayload db_port=3306 code=2002 msg=connection refused elapsed_ms=8583,A database connection failure hit search-indexer; error 2002 in decodePayload indicates the server on port 3306 refused the connection.
ERROR service=order-api host=worker-b upstream=report-builder dns=timeout,order-api on worker-b cannot resolve its upstream report-builder — DNS returned timeout.
ERROR service=thumbnail-worker host=worker-e mount=/tmp used_pct=98 fn=processBatch msg=no space left on device,Writes from thumbnail-worker on worker-e are failing because volume /tmp is 98% full — processBatch hit 'no space left on device'.
[CRIT] report-builder on worker-c: lookup of geo-resolver returned NXDOMAIN,"The geo-resolver hostname would not resolve (NXDOMAIN), blocking report-builder on worker-c."
No space left on device: feed-aggregator on worker-d failed to write during acquireLock. Volume /tmp is at 97% capacity.,"Volume /tmp on worker-d filled to 97%, so feed-aggregator can no longer write (acquireLock failed)."
Name resolution failed for upstream thumbnail-worker: timeout. thumbnail-worker cannot reach it from node-06.,"DNS resolution of thumbnail-worker failed with timeout, leaving thumbnail-worker on node-06 unable to connect."
Upstream auth-gateway returned 502 for /api/v1/uploads after 11785ms. Circuit breaker in email-dispatcher is now open.,email-dispatcher opened its circuit breaker after auth-gateway answered /api/v1/uploads with 502 (latest attempt took 11785ms).
WARN service=session-store endpoint=/api/v1/reports code=403 reason=token_expired expired_min=693,session-store returned 403 for /api/v1/reports because the caller's token expired 693 minutes earlier.
backup-agent could not connect to the database on port 3306. Error 61 in acquireLock: connection refused after 8354ms.,A database connection failure hit backup-agent; error 61 in acquireLock indicates the server on port 3306 refused the connection.
[ERROR] thumbnail-worker: permission denied for app_writer on invoices during renewLease (error 42501),"Database permissions blocked thumbnail-worker — role app_writer cannot use table invoices, so renewLease failed with error 42501."
ERROR job=backup-snapshot host=worker-d elapsed_s=1186 exit=1 last_step=acquireLock,The backup-snapshot scheduled job failed on worker-d: it exited 1 after 1186s while running acquireLock.
ERROR service=report-builder upstream=auth-gateway endpoint=/api/v1/sessions code=504 elapsed_ms=9971 breaker=open,"The auth-gateway upstream is failing /api/v1/sessions with 504, so report-builder stopped sending traffic (breaker open)."
"[CRIT] container runtime killed notify-hub on node-11: memory limit 2048Mi reached inside syncReplica, exit code 137",The notify-hub container on node-11 was killed with exit code 137 after syncReplica exceeded its 2048Mi memory limit.
[ERROR] report-builder: 9 consecutive 504 responses from notify-hub on /api/v1/search; breaker opened,"The notify-hub upstream is failing /api/v1/search with 504, so report-builder stopped sending traffic (breaker open)."
Failed to pull image for payment-worker: registry returned 403 while fetching tag v6.9.8. Retrying with backoff.,"The payment-worker image pull for tag v6.9.8 failed with registry error 403, leaving the deployment in backoff."
[ALERT] email-dispatcher: 19 consecutive 503 responses from report-builder on /api/v1/search; breaker opened,Repeated 503 errors from report-builder on /api/v1/search tripped email-dispatcher's circuit breaker.
Scheduled job backup-snapshot failed after 1282s with exit status 1. Last step was decodePayload on node-05.,"On node-05, the backup-snapshot job died in step decodePayload after 1282s (exit 1)."
Failed to pull image for catalog-api: registry returned 404 while fetching tag v4.17.5. Retrying with backoff.,Deploying catalog-api failed because image tag v4.17.5 could not be pulled; the registry responded with 404 and the pull is backing off.
search-indexer exited during startup: required environment variable TLS_CERT_PATH is not set. flushBuffer aborted with status 1.,search-indexer failed to start because the TLS_CERT_PATH environment variable is missing; flushBuffer exited with status 1.
"[ALERT] database unreachable from feed-aggregator: handleRequest got error 61 (connection refused, port 9042)",feed-aggregator failed to reach the database: handleRequest received a connection-refused error (code 61) on port 9042 after 4019ms.
Access denied for role migrator when feed-aggregator executed processBatch against table invoices. Error 1044.,"Database permissions blocked feed-aggregator — role migrator cannot use table invoices, so processBatch failed with error 1044."
FATAL service=notify-hub fn=resolveHost missing_env=MAX_WORKERS exit=1,A missing MAX_WORKERS value stopped notify-hub from booting (resolveHost exited 1).
notify-hub could not connect to the database on port 5432. Error 111 in fetchUpstream: connection refused after 5191ms.,A database connection failure hit notify-hub; error 111 in fetchUpstream indicates the server on port 5432 refused the connection.
ERROR job=session-cleanup host=worker-d elapsed_s=1796 exit=1 last_step=runMigration,"session-cleanup aborted with exit status 1 on worker-d; the failure happened 1796s in, during runMigration."
Upstream order-api returned 502 for /api/v1/sessions after 12416ms. Circuit breaker in geo-resolver is now open.,"The order-api upstream is failing /api/v1/sessions with 502, so geo-resolver stopped sending traffic (breaker open)."
ERROR service=report-builder fn=syncReplica db_port=3306 code=61 msg=connection refused elapsed_ms=4453,A database connection failure hit report-builder; error 61 in syncReplica indicates the server on port 3306 refused the connection.
FATAL service=catalog-api fn=writeSnapshot missing_env=DATABASE_URL exit=1,Startup of catalog-api aborted in writeSnapshot — the required DATABASE_URL setting was never provided.
Request to /api/v1/search rejected with 401: the session token presented to payment-worker expired 397 minutes ago.,The /api/v1/search call failed with 401: payment-worker saw credentials that lapsed 397 minutes ago.
ERROR service=media-encoder role=batch_runner table=orders code=1045 msg=permission denied,"Database permissions blocked media-encoder — role batch_runner cannot use table orders, so openChannel failed with error 1045."
media-encoder could not connect to the database on port 5432. Error 2013 in decodePayload: connection refused after 7667ms.,"The database on port 5432 refused media-encoder's connection attempt in decodePayload, failing with code 2013."
Name resolution failed for upstream cart-service: SERVFAIL. payment-worker cannot reach it from node-12.,"The cart-service hostname would not resolve (SERVFAIL), blocking payment-worker on node-12."
Name resolution failed for upstream notify-hub: NXDOMAIN. feed-aggregator cannot reach it from worker-e.,"The notify-hub hostname would not resolve (NXDOMAIN), blocking feed-aggregator on worker-e."
Message on emails.outbound was redelivered 6 times and moved to the dead-letter queue. Consumer auth-gateway raised ValidationError in fetchUpstream.,"After 6 failed deliveries to auth-gateway (ValidationError), the emails.outbound message landed in the dead-letter queue."
"[ERROR] database unreachable from webhook-relay: decodePayload got error 2013 (connection refused, port 9042)","The database on port 9042 refused webhook-relay's connection attempt in decodePayload, failing with code 2013."
Scheduled job index-rebuild failed after 1101s with exit status 1. Last step was runMigration on worker-a.,"index-rebuild aborted with exit status 1 on worker-a; the failure happened 1101s in, during runMigration."
Access denied for role batch_runner when feed-aggregator executed resolveHost against table customers. Error 1045.,Error 1045 in resolveHost: the batch_runner role used by feed-aggregator has no access to customers.
Client exceeded 120 requests per minute on /api/v1/checkout; email-dispatcher is responding 429 with retry-after 30s.,"email-dispatcher is throttling /api/v1/checkout: the 120-per-minute limit was exceeded, so callers get 429 with a 30s retry-after."
Name resolution failed for upstream notify-hub: timeout. media-encoder cannot reach it from worker-b.,"DNS resolution of notify-hub failed with timeout, leaving media-encoder on worker-b unable to connect."
Container order-api on node-01 terminated unexpectedly. Exit code 137. Process writeSnapshot exceeded the memory limit of 1024Mi.,The order-api container on node-01 was killed with exit code 137 after writeSnapshot exceeded its 1024Mi memory limit.
"[CRIT] metrics-flush did not complete: exit 1 after 1215s (step openChannel, node-05)","On node-05, the metrics-flush job died in step openChannel after 1215s (exit 1)."
"[ERROR] startup failure in session-store: MAX_WORKERS unset, writeSnapshot cannot continue",Startup of session-store aborted in writeSnapshot — the required MAX_WORKERS setting was never provided.
Request to /api/v1/uploads rejected with 401: the session token presented to geo-resolver expired 626 minutes ago.,An expired token (626 minutes past validity) caused geo-resolver to reject /api/v1/uploads with 401.
auth-gateway could not connect to the database on port 6379. Error 2013 in connectDb: connection refused after 5880ms.,"The database on port 6379 refused auth-gateway's connection attempt in connectDb, failing with code 2013."
FATAL service=media-encoder fn=startContainer missing_env=DATABASE_URL exit=1,media-encoder failed to start because the DATABASE_URL environment variable is missing; startContainer exited with status 1.
Failed to pull image for search-indexer: registry returned 403 while fetching tag v2.18.8. Retrying with backoff.,"The search-indexer image pull for tag v2.18.8 failed with registry error 403, leaving the deployment in backoff."
Container media-encoder on worker-b terminated unexpectedly. Exit code 137. Process buildIndex exceeded the memory limit of 2048Mi.,media-encoder on worker-b ran out of memory: buildIndex crossed the 2048Mi limit and the container exited with code 137.
ERROR service=search-indexer host=node-02 oom_killed=true limit=2048Mi function=handleRequest exit=137,The search-indexer container on node-02 was killed with exit code 137 after handleRequest exceeded its 2048Mi memory limit.
WARN service=backup-agent queue=payments.retry redeliveries=13 action=dead_letter error=ValidationError,A message on payments.retry exhausted 13 redeliveries and was dead-lettered after backup-agent kept failing with ValidationError in resolveHost.
ERROR service=backup-agent upstream=geo-resolver endpoint=/api/v1/sessions code=503 elapsed_ms=11914 breaker=open,backup-agent opened its circuit breaker after geo-resolver answered /api/v1/sessions with 503 (latest attempt took 11914ms).
"[CRIT] throttling active on /api/v1/orders: session-store rejecting excess traffic with 429 (limit 60/min, retry after 30s)",Rate limiting kicked in on /api/v1/orders — over 60/min — and session-store now answers 429 with retry-after 30s.
FATAL service=media-encoder fn=resolveHost missing_env=QUEUE_URL exit=1,media-encoder failed to start because the QUEUE_URL environment variable is missing; resolveHost exited with status 1.
payment-worker exited during startup: required environment variable QUEUE_URL is not set. acquireLock aborted with status 1.,payment-worker failed to start because the QUEUE_URL environment variable is missing; acquireLock exited with status 1.
Container catalog-api on node-10 terminated unexpectedly. Exit code 137. Process flushBuffer exceeded the memory limit of 512Mi.,The catalog-api container on node-10 was killed with exit code 137 after flushBuffer exceeded its 512Mi memory limit.
order-api could not connect to the database on port 9042. Error 61 in buildIndex: connection refused after 3776ms.,order-api failed to reach the database: buildIndex received a connection-refused error (code 61) on port 9042 after 3776ms.
[ALERT] payment-worker on worker-a: lookup of order-api returned timeout,payment-worker on worker-a cannot resolve its upstream order-api — DNS returned timeout.
WARN service=geo-resolver endpoint=/api/v1/reports code=403 reason=token_expired expired_min=535,An expired token (535 minutes past validity) caused geo-resolver to reject /api/v1/reports with 403.
ERROR service=order-api phase=image_pull code=502 tag=v7.20.4 msg=pull backoff,Deploying order-api failed because image tag v7.20.4 could not be pulled; the registry responded with 502 and the pull is backing off.
Scheduled job backup-snapshot failed after 1208s with exit status 1. Last step was connectDb on node-01.,"On node-01, the backup-snapshot job died in step connectDb after 1208s (exit 1)."
Upstream geo-resolver returned 500 for /api/v1/orders after 3202ms. Circuit breaker in report-builder is now open.,Repeated 500 errors from geo-resolver on /api/v1/orders tripped report-builder's circuit breaker.
Client exceeded 300 requests per minute on /api/v1/sessions; order-api is responding 429 with retry-after 15s.,Rate limiting kicked in on /api/v1/sessions — over 300/min — and order-api now answers 429 with retry-after 15s.
ERROR service=cart-service host=node-03 upstream=search-indexer dns=NXDOMAIN,"The search-indexer hostname would not resolve (NXDOMAIN), blocking cart-service on node-03."
"[CRIT] session-store deployment stalled: image tag v8.14.0 could not be pulled, registry answered 503",Deploying session-store failed because image tag v8.14.0 could not be pulled; the registry responded with 503 and the pull is backing off.
[CRIT] lock wait on customers: media-encoder transaction in syncReplica aborted after 1000ms,A statement from media-encoder against customers ran past the 1000ms timeout and was cancelled in syncReplica.
"[ALERT] container runtime killed inventory-sync on node-12: memory limit 1024Mi reached inside processBatch, exit code 137",An out-of-memory kill terminated inventory-sync on node-12 (exit 137); the processBatch process breached the 1024Mi cap.
Message on reports.nightly was redelivered 7 times and moved to the dead-letter queue. Consumer geo-resolver raised ValidationError in processBatch.,A message on reports.nightly exhausted 7 redeliveries and was dead-lettered after geo-resolver kept failing with ValidationError in processBatch.
ERROR job=invoice-rollup host=worker-f elapsed_s=2304 exit=1 last_step=startContainer,"On worker-f, the invoice-rollup job died in step startContainer after 2304s (exit 1)."
ERROR service=cart-service role=migrator table=products code=1044 msg=permission denied,Error 1044 in openChannel: the migrator role used by cart-service has no access to products.
Name resolution failed for upstream auth-gateway: timeout. webhook-relay cannot reach it from node-05.,"The auth-gateway hostname would not resolve (timeout), blocking webhook-relay on node-05."
Message on payments.retry was redelivered 24 times and moved to the dead-letter queue. Consumer webhook-relay raised JSONDecodeError in handleRequest.,webhook-relay could not process a payments.retry message — JSONDecodeError in handleRequest across 24 attempts sent it to the dead-letter queue.
ERROR service=webhook-relay phase=image_pull code=503 tag=v7.5.9 msg=pull backoff,"The webhook-relay image pull for tag v7.5.9 failed with registry error 503, leaving the deployment in backoff."
[ALERT] consumer lag on media.encode: order-api is 10 messages behind; oldest message failed with KeyError,A message on media.encode exhausted 10 redeliveries and was dead-lettered after order-api kept failing with KeyError in startContainer.
Upstream ledger-service returned 503 for /api/v1/orders after 10196ms. Circuit breaker in email-dispatcher is now open.,email-dispatcher opened its circuit breaker after ledger-service answered /api/v1/orders with 503 (latest attempt took 10196ms).
ERROR service=webhook-relay host=worker-b oom_killed=true limit=1024Mi function=resolveHost exit=137,webhook-relay on worker-b ran out of memory: resolveHost crossed the 1024Mi limit and the container exited with code 137.
ERROR job=index-rebuild host=node-06 elapsed_s=2986 exit=1 last_step=handleRequest,"On node-06, the index-rebuild job died in step handleRequest after 2986s (exit 1)."
[CRIT] consumer lag on webhooks.delivery: report-builder is 14 messages behind; oldest message failed with ValidationError,report-builder could not process a webhooks.delivery message — ValidationError in resolveHost across 14 attempts sent it to the dead-letter queue.
[CRIT] consumer lag on orders.created: search-indexer is 5 messages behind; oldest message failed with ValidationError,search-indexer could not process a orders.created message — ValidationError in resolveHost across 5 attempts sent it to the dead-letter queue.
[ERROR] consumer lag on reports.nightly: media-encoder is 16 messages behind; oldest message failed with ValidationError,"After 16 failed deliveries to media-encoder (ValidationError), the reports.nightly message landed in the dead-letter queue."
WARN service=ledger-service endpoint=/api/v1/orders code=403 reason=token_expired expired_min=333,The /api/v1/orders call failed with 403: ledger-service saw credentials that lapsed 333 minutes ago.
ERROR service=ledger-service host=node-08 upstream=payment-worker dns=NXDOMAIN,ledger-service on node-08 cannot resolve its upstream payment-worker — DNS returned NXDOMAIN.
webhook-relay could not connect to the database on port 6379. Error 111 in resolveHost: connection refused after 2562ms.,webhook-relay failed to reach the database: resolveHost received a connection-refused error (code 111) on port 6379 after 2562ms.
ERROR service=notify-hub fn=runMigration db_port=5432 code=61 msg=connection refused elapsed_ms=1776,A database connection failure hit notify-hub; error 61 in runMigration indicates the server on port 5432 refused the connection.
ERROR service=email-dispatcher host=node-11 oom_killed=true limit=2048Mi function=writeSnapshot exit=137,The email-dispatcher container on node-11 was killed with exit code 137 after writeSnapshot exceeded its 2048Mi memory limit.
[ALERT] inventory-sync: permission denied for app_writer on invoices during openChannel (error 1045),Error 1045 in openChannel: the app_writer role used by inventory-sync has no access to invoices.
WARN service=catalog-api endpoint=/api/v1/checkout limit_per_min=600 code=429 retry_after_s=15,Rate limiting kicked in on /api/v1/checkout — over 600/min — and catalog-api now answers 429 with retry-after 15s.
WARN service=search-indexer endpoint=/api/v1/uploads limit_per_min=60 code=429 retry_after_s=30,Rate limiting kicked in on /api/v1/uploads — over 60/min — and search-indexer now answers 429 with retry-after 30s.
[ERROR] ledger-service: 403 on /api/v1/uploads — expired credentials (83m past validity),ledger-service returned 403 for /api/v1/uploads because the caller's token expired 83 minutes earlier.
Failed to pull image for geo-resolver: registry returned 404 while fetching tag v9.5.2. Retrying with backoff.,Registry error 404 blocked geo-resolver from pulling image tag v9.5.2.
"[ALERT] report-builder deployment stalled: image tag v9.1.6 could not be pulled, registry answered 404",Deploying report-builder failed because image tag v9.1.6 could not be pulled; the registry responded with 404 and the pull is backing off.
Client exceeded 60 requests per minute on /api/v1/sessions; auth-gateway is responding 429 with retry-after 60s.,Rate limiting kicked in on /api/v1/sessions — over 60/min — and auth-gateway now answers 429 with retry-after 60s.
Client exceeded 60 requests per minute on /api/v1/uploads; media-encoder is responding 429 with retry-after 60s.,"media-encoder is throttling /api/v1/uploads: the 60-per-minute limit was exceeded, so callers get 429 with a 60s retry-after."
[ERROR] certificate for notify-hub is no longer valid (expired 41d); handshake rejected in connectDb,Connections to notify-hub are failing because its TLS certificate expired 41 days ago; connectDb rejects the handshake.
"[CRIT] throttling active on /api/v1/uploads: backup-agent rejecting excess traffic with 429 (limit 600/min, retry after 60s)",Rate limiting kicked in on /api/v1/uploads — over 600/min — and backup-agent now answers 429 with retry-after 60s.
"[ALERT] report-builder deployment stalled: image tag v6.19.6 could not be pulled, registry answered 404",Registry error 404 blocked report-builder from pulling image tag v6.19.6.
[ERROR] node-12: volume /var/lib/data at 96%; writes from session-store are failing in syncReplica,"node-12 ran out of disk on /var/lib/data (96% used), breaking session-store's syncReplica."
[CRIT] lock wait on invoices: thumbnail-worker transaction in resolveHost aborted after 5000ms,A statement from thumbnail-worker against invoices ran past the 5000ms timeout and was cancelled in resolveHost.
"[CRIT] invoice-rollup did not complete: exit 1 after 2805s (step syncReplica, node-06)","invoice-rollup aborted with exit status 1 on node-06; the failure happened 2805s in, during syncReplica."
No space left on device: auth-gateway on worker-b failed to write during renewLease. Volume /var/lib/data is at 97% capacity.,"Volume /var/lib/data on worker-b filled to 97%, so auth-gateway can no longer write (renewLease failed)."
"[CRIT] order-api deployment stalled: image tag v6.18.7 could not be pulled, registry answered 502",Deploying order-api failed because image tag v6.18.7 could not be pulled; the registry responded with 502 and the pull is backing off.
[CRIT] inventory-sync: 45 consecutive 502 responses from backup-agent on /api/v1/reports; breaker opened,inventory-sync opened its circuit breaker after backup-agent answered /api/v1/reports with 502 (latest attempt took 7668ms).
"[ALERT] startup failure in webhook-relay: API_BASE_URL unset, startContainer cannot continue",A missing API_BASE_URL value stopped webhook-relay from booting (startContainer exited 1).
Name resolution failed for upstream report-builder: SERVFAIL. auth-gateway cannot reach it from node-11.,"DNS resolution of report-builder failed with SERVFAIL, leaving auth-gateway on node-11 unable to connect."
